case,family,occurrence_classes,suspicious_occurrences,self_check_name_specialization_static_result,disposition
getresgid01,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getresgid02,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getresgid03,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
lseek01,file_io,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
lseek02,file_io,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
read02,file_io,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
write02,file_io,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
creat01,file_io,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
creat03,file_io,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
open02,file_io,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
open03,file_io,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
stat02,stat_metadata,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
lstat01,stat_metadata,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
chmod01,permissions_creds,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fchmod01,permissions_creds,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
rmdir01,dir_link_rename,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
symlink01,dir_link_rename,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
readlink01,file_io,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
ftruncate01,file_io,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
umask01,permissions_creds,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
alarm02,other,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
alarm03,other,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
clock_gettime02,time_clock,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
gettimeofday01,time_clock,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
time01,time_clock,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
times01,time_clock,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
kill03,process_wait_signal,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
rt_sigaction01,other,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
rt_sigaction02,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sigaction01,other,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
proc01,sysinfo_proc,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
exit01,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
exit02,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
exit_group01,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getpgrp01,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getsid01,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
gettid01,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
uname01,sysinfo_proc,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
uname04,sysinfo_proc,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getrlimit01,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getrusage01,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sched_getscheduler01,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sched_yield01,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getpgid02,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getsid02,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getppid02,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getuid03,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
geteuid02,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getgid03,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getegid02,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getgroups03,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
uname02,sysinfo_proc,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
wait01,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
wait02,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getrlimit02,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getgroups01,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setrlimit02,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sched_getparam01,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sched_get_priority_max01,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sched_get_priority_min01,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sched_rr_get_interval01,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getpriority01,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getpriority02,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
waitpid03,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
rt_sigprocmask01,sysinfo_proc,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
rt_sigprocmask02,sysinfo_proc,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sigaction02,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sigprocmask01,sysinfo_proc,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sigsuspend01,other,ltp_batch_selection_lists|ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
dup04,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
dup202,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
faccessat01,access,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fchmod03,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
mkdirat01,dir_link_rename,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
openat01,file_io,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
pipe03,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
pipe04,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
pipe05,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
pread01,file_io,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
pwrite01,file_io,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sysinfo01,sysinfo_proc,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
waitpid06,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
waitpid07,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
waitpid08,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
waitpid09,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
brk02,brk,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
chmod03,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
dup3_01,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
dup3_02,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
faccessat02,access,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fchmodat01,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getdomainname01,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
gethostname01,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getpagesize01,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getrandom01,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getrandom02,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getrandom03,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getrandom04,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getrandom05,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
getrlimit03,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
read04,file_io,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sched_get_priority_max02,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sched_get_priority_min02,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sched_rr_get_interval02,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
sysinfo02,sysinfo_proc,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
truncate02,file_io,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
unlinkat01,dir_link_rename,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
wait402,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
dup201,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
pipe06,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
alarm06,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
dup06,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
dup07,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
dup203,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
dup204,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
dup205,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
dup206,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
faccessat201,access,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
faccessat202,access,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fchmod04,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fcntl04,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fcntl08,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fcntl09,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fcntl10,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fcntl16,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
waitpid10,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
waitpid04,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fcntl29,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
fstatat01,stat_metadata,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
pipe09,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
pipe10,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
pipe14,fd_pipe_fcntl,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
readv01,file_io,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
write03,file_io,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
write06,file_io,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
writev02,file_io,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
personality01,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
personality02,sched_resource,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setegid01,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setfsgid01,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setfsuid01,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setgid01,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setgid03,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setpgid01,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setpgid02,process_wait_signal,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setpgrp01,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setpgrp02,other,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setregid01,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setresgid01,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setresuid01,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
open04,file_io,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setgroups01,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setgroups02,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setreuid01,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
setuid01,permissions_creds,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
statx02,stat_metadata,ltp_stable_cases,,OK_STATIC,"no exact case-token evidence outside selection lists, runner markers, parser/guard fixtures, or policy docs"
